Airlines,Total_Stops,Price,Duration,Destination,Date
Tunisair,0,81 €,2h 15min,MAD,2025-06-29
Tunisair,0,81 €,2h 15min,MAD,2025-06-29
Air Europa,0,83 €,2h 15min,MAD,2025-06-29
"Vueling, Iberia",1,102 €,5h 20min,MAD,2025-06-29
"Tunisair, Iberia",1,105 €,5h 55min,MAD,2025-06-29
Aegean Airlines,1,117 €,9h 35min,MAD,2025-06-29
"Tunisair, Iberia",1,137 €,4h 45min,MAD,2025-06-29
ITA Airways,1,177 €,4h 49min,MAD,2025-06-29
"Tunisair, Ryanair",1,110 €,6h 30min,MAD,2025-06-29
Transavia France,1,137 €,7h 05min,MAD,2025-06-29
"Nouvelair, Iberia",1,119 €,6h 15min,MAD,2025-06-29
"Tunisair, Iberia",1,128 €,5h 40min,MAD,2025-06-29
Transavia France,1,174 €,6h 45min,MAD,2025-06-29
"Tunisair, Transavia France",1,147 €,5h 45min,MAD,2025-06-29
"Vueling, Iberia",1,114 €,7h 15min,MAD,2025-06-29
"Nouvelair, easyJet",1,132 €,7h 10min,MAD,2025-06-29
"Nouvelair, Iberia",1,128 €,6h 55min,MAD,2025-06-29
"Tunisair, Iberia",1,128 €,6h 40min,MAD,2025-06-29
"Transavia France, Iberia",1,151 €,6h 15min,MAD,2025-06-29
"Tunisair, Iberia",1,128 €,6h 35min,MAD,2025-06-29
"Nouvelair, Ryanair",1,149 €,6h 10min,MAD,2025-06-29
"Tunisair, Transavia France",1,159 €,6h 00min,MAD,2025-06-29
"Tunisair, Iberia",1,169 €,5h 40min,MAD,2025-06-29
"Nouvelair, Iberia",1,143 €,6h 50min,MAD,2025-06-29
ITA Airways,1,208 €,5h 45min,MAD,2025-06-29
"Tunisair, Iberia",1,145 €,6h 10min,MAD,2025-06-29
"ITA Airways, Wizz Air",1,128 €,8h 30min,MAD,2025-06-29
"Tunisair, Air Europa",1,187 €,5h 35min,MAD,2025-06-29
Air France,1,242 €,6h 05min,MAD,2025-06-29
Royal Air Maroc,1,259 €,6h 05min,MAD,2025-06-29
Transavia France,1,199 €,7h 20min,MAD,2025-06-29
Royal Air Maroc,1,408 €,9h 15min,COO,2025-06-29
Royal Air Maroc,1,404 €,9h 15min,COO,2025-06-29
Royal Air Maroc,1,404 €,15h 25min,COO,2025-06-29
Turkish Airlines,1,508 €,11h 55min,COO,2025-06-29
Turkish Airlines,1,508 €,21h 35min,COO,2025-06-29
"Royal Air Maroc, Air Côte d’Ivoire",2,476 €,16h 25min,COO,2025-06-29
"Nouvelair, Royal Air Maroc",2,497 €,15h 15min,COO,2025-06-29
Air France,1,945 €,10h 30min,COO,2025-06-29
"Tunisair, Royal Air Maroc",2,497 €,17h 30min,COO,2025-06-29
"ITA Airways, Ethiopian Air",2,627 €,18h 05min,COO,2025-06-29
Air France,1,945 €,14h 50min,COO,2025-06-29
"Transavia France, Corsair",1,920 €,10h 50min,COO,2025-06-29
"Tunisair, Royal Air Maroc",2,494 €,33h 45min,COO,2025-06-29
"Transavia France, Royal Air Maroc",2,528 €,18h 15min,COO,2025-06-29
"Nouvelair, Corsair",1,905 €,12h 50min,COO,2025-06-29
"Tunisair, Royal Air Maroc",2,537 €,17h 30min,COO,2025-06-29
"Tunisair, Corsair",1,873 €,13h 30min,COO,2025-06-29
"Tunisair, Royal Air Maroc",2,540 €,17h 30min,COO,2025-06-29
"Transavia France, Corsair",1,893 €,14h 50min,COO,2025-06-29
"Air France, Royal Air Maroc",2,645 €,15h 30min,COO,2025-06-29
"Transavia France, Royal Air Maroc",2,571 €,18h 15min,COO,2025-06-29
"Transavia France, Royal Air Maroc",2,571 €,18h 15min,COO,2025-06-29
"Tunisair, Royal Air Maroc",2,595 €,17h 30min,COO,2025-06-29
"Tunisair, Air Côte d’Ivoire",2,581 €,18h 30min,COO,2025-06-29
"Air France, Royal Air Maroc",2,648 €,17h 25min,COO,2025-06-29
"Transavia France, Royal Air Maroc",2,627 €,18h 15min,COO,2025-06-29
"Aegean Airlines, Ryanair",1,102 €,7h 05min,CRL,2025-06-29
Air France,1,156 €,5h 41min,CRL,2025-06-29
"Tunisair, Ryanair",1,161 €,4h 30min,CRL,2025-06-29
"Nouvelair, Ryanair",1,153 €,5h 05min,CRL,2025-06-29
"Transavia France, Ryanair",1,159 €,5h 05min,CRL,2025-06-29
"Tunisair, Ryanair",1,132 €,8h 35min,CRL,2025-06-29
"Nouvelair, Ryanair",1,142 €,9h 20min,CRL,2025-06-29
"Tunisair, Ryanair",1,150 €,8h 45min,CRL,2025-06-29
"Tunisair, Ryanair",1,150 €,8h 45min,CRL,2025-06-29
"Transavia France, Ryanair",1,170 €,7h 05min,CRL,2025-06-29
"Tunisair, Ryanair",1,156 €,9h 55min,CRL,2025-06-29
"Tunisair, Ryanair",1,152 €,12h 20min,CRL,2025-06-29
"Transavia France, Ryanair",1,159 €,11h 20min,CRL,2025-06-29
"Tunisair, Ryanair",1,161 €,10h 45min,CRL,2025-06-29
Plusieurs compagnies,2,181 €,8h 20min,CRL,2025-06-29
Plusieurs compagnies,2,189 €,8h 10min,CRL,2025-06-29
"Tunisair, Ryanair",2,182 €,11h 15min,CRL,2025-06-29
"Tunisair, Ryanair",2,188 €,11h 00min,CRL,2025-06-29
"Aegean Airlines, Wizz Air",2,155 €,11h 55min,CRL,2025-06-29
"Vueling, Ryanair",2,265 €,8h 40min,CRL,2025-06-29
"Nouvelair, Ryanair",1,107 €,16h 15min,CRL,2025-06-29
"Tunisair, Ryanair",1,150 €,15h 00min,CRL,2025-06-29
Plusieurs compagnies,2,214 €,9h 55min,CRL,2025-06-29
Plusieurs compagnies,2,209 €,11h 25min,CRL,2025-06-29
Plusieurs compagnies,2,165 €,14h 45min,CRL,2025-06-29
Plusieurs compagnies,2,190 €,15h 40min,CRL,2025-06-29
"Aegean Airlines, Wizz Air",2,193 €,13h 55min,CRL,2025-06-29
Plusieurs compagnies,2,190 €,12h 55min,CRL,2025-06-29
"Tunisair, Wizz Air",2,247 €,15h 40min,CRL,2025-06-29
Plusieurs compagnies,2,232 €,13h 35min,CRL,2025-06-29
Air France,1,156 €,5h 41min,ANR,2025-06-29
Plusieurs compagnies,2,335 €,14h 40min,ANR,2025-06-29
Plusieurs compagnies,2,288 €,10h 20min,OST,2025-06-29
Plusieurs compagnies,3,455 €,17h 45min,OST,2025-06-29
"Vueling, TUI Fly Belgium",2,312 €,22h 50min,OST,2025-06-29
Aegean Airlines,1,117 €,7h 30min,LUX,2025-06-29
Aegean Airlines,1,117 €,7h 30min,LUX,2025-06-29
"Nouvelair, Ryanair",1,105 €,23h 50min,LUX,2025-06-29
Lufthansa,1,174 €,5h 10min,LUX,2025-06-29
"Nouvelair, Volotea",1,108 €,13h 20min,LUX,2025-06-29
"Tunisair, Luxair",1,209 €,4h 20min,LUX,2025-06-29
"Tunisair, Volotea",1,131 €,10h 25min,LUX,2025-06-29
"Tunisair, Luxair",1,177 €,6h 45min,LUX,2025-06-29
"Tunisair, easyJet",1,153 €,9h 00min,LUX,2025-06-29
Lufthansa,1,244 €,5h 20min,LUX,2025-06-29
"Nouvelair, Luxair",1,209 €,5h 50min,LUX,2025-06-29
"Tunisair, Lufthansa",1,234 €,4h 50min,LUX,2025-06-29
Lufthansa,1,215 €,7h 20min,LUX,2025-06-29
Turkish Airlines,1,276 €,8h 15min,LUX,2025-06-29
"Lufthansa, Air Dolomiti",1,290 €,5h 20min,LUX,2025-06-29
Air France,1,205 €,9h 00min,LUX,2025-06-29
"Nouvelair, Lufthansa",1,219 €,6h 20min,LUX,2025-06-29
"Nouvelair, Luxair",1,234 €,5h 40min,LUX,2025-06-29
Air France,1,246 €,7h 20min,LUX,2025-06-29
"Tunisair, Luxair",1,245 €,6h 50min,LUX,2025-06-29
"Nouvelair, Luxair",1,156 €,12h 40min,LUX,2025-06-29
"Tunisair, Luxair",1,254 €,5h 30min,LUX,2025-06-29
"Tunisair, Luxair",1,231 €,6h 30min,LUX,2025-06-29
"Lufthansa, Air Dolomiti",1,249 €,7h 20min,LUX,2025-06-29
Air France,1,205 €,10h 55min,LUX,2025-06-29
"Tunisair, Luxair",1,208 €,8h 20min,LUX,2025-06-29
Air France,1,196 €,14h 50min,LUX,2025-06-29
"Vueling, Luxair",1,215 €,8h 50min,LUX,2025-06-29
"Tunisair, Luxair",1,177 €,14h 45min,LUX,2025-06-29
"Nouvelair, Luxair",1,209 €,8h 45min,LUX,2025-06-29
"Transavia France, Luxair",1,226 €,7h 50min,LUX,2025-06-29
"ITA Airways, Luxair",1,313 €,5h 45min,LUX,2025-06-29
Turkish Airlines,2,453 €,16h 35min,NDJ,2025-06-29
Turkish Airlines,2,451 €,16h 35min,NDJ,2025-06-29
Air France,1,765 €,12h 30min,NDJ,2025-06-29
"ITA Airways, Ethiopian Air",2,579 €,18h 00min,NDJ,2025-06-29
Turkish Airlines,1,448 €,29h 05min,NDJ,2025-06-29
Royal Air Maroc,1,230 €,11h 45min,ABJ,2025-06-29
Royal Air Maroc,1,229 €,11h 45min,ABJ,2025-06-29
Tunisair,1,325 €,6h 35min,ABJ,2025-06-29
Royal Air Maroc,1,231 €,17h 55min,ABJ,2025-06-29
Royal Air Maroc,1,231 €,24h 45min,ABJ,2025-06-29
Egyptair,1,412 €,16h 10min,ABJ,2025-06-29
Turkish Airlines,1,369 €,28h 20min,ABJ,2025-06-29
Turkish Airlines,2,467 €,14h 15min,ABJ,2025-06-29
Air France,1,779 €,10h 40min,ABJ,2025-06-29
Air France,1,779 €,12h 35min,ABJ,2025-06-29
"ITA Airways, Ethiopian Air",2,604 €,18h 50min,ABJ,2025-06-29
"Tunisair, Royal Air Maroc",2,611 €,14h 10min,ABJ,2025-06-29
Air France,1,929 €,14h 05min,ABJ,2025-06-29
Air France,1,804 €,16h 55min,ABJ,2025-06-29
"Tunisair, Royal Air Maroc",2,619 €,14h 10min,ABJ,2025-06-29
"Nouvelair, Royal Air Maroc",1,699 €,15h 45min,ABJ,2025-06-29
"Nouvelair, Royal Air Maroc",2,617 €,17h 45min,ABJ,2025-06-29
"Nouvelair, Royal Air Maroc",2,617 €,17h 45min,ABJ,2025-06-29
"Tunisair, Royal Air Maroc",2,708 €,16h 30min,ABJ,2025-06-29
"Turkish Airlines, Egyptair",2,681 €,17h 30min,ABJ,2025-06-29
Turkish Airlines,1,369 €,28h 20min,ABJ,2025-06-29
Air France,1,804 €,16h 55min,ABJ,2025-06-29
"Vueling, Royal Air Maroc",3,737 €,16h 40min,ABJ,2025-06-29
Air France,1,929 €,14h 05min,ABJ,2025-06-29
Lufthansa,2,980 €,16h 05min,ABJ,2025-06-29
Lufthansa,2,980 €,16h 05min,ABJ,2025-06-29
Plusieurs compagnies,2,1 191 €,18h 50min,ABJ,2025-06-29
Nouvelair,0,33 €,2h 35min,PAR,2025-06-29
Nouvelair,0,33 €,2h 35min,PAR,2025-06-29
Nouvelair,0,33 €,2h 35min,PAR,2025-06-29
Nouvelair,0,47 €,2h 35min,PAR,2025-06-29
Tunisair,0,52 €,2h 20min,PAR,2025-06-29
Tunisair,0,52 €,2h 25min,PAR,2025-06-29
Tunisair,0,52 €,2h 25min,PAR,2025-06-29
Tunisair,0,52 €,2h 25min,PAR,2025-06-29
Transavia France,0,76 €,2h 35min,PAR,2025-06-29
Transavia France,0,76 €,2h 35min,PAR,2025-06-29
Transavia France,0,76 €,2h 35min,PAR,2025-06-29
Transavia France,0,52 €,2h 35min,PAR,2025-06-29
Air France,0,94 €,2h 40min,PAR,2025-06-29
Air France,0,151 €,2h 35min,PAR,2025-06-29
"Tunisair, easyJet",1,141 €,4h 30min,PAR,2025-06-29
"Tunisair, Transavia France",1,124 €,5h 50min,PAR,2025-06-29
"Tunisair, easyJet",1,113 €,6h 40min,PAR,2025-06-29
"Nouvelair, easyJet",1,118 €,6h 20min,PAR,2025-06-29
ITA Airways,1,167 €,4h 30min,PAR,2025-06-29
Air France,0,166 €,2h 35min,PAR,2025-06-29
Vueling,1,158 €,5h 10min,PAR,2025-06-29
Vueling,1,148 €,5h 55min,PAR,2025-06-29
Aegean Airlines,1,105 €,8h 00min,PAR,2025-06-29
"Tunisair, easyJet",1,113 €,8h 00min,PAR,2025-06-29
"Tunisair, easyJet",1,141 €,6h 10min,PAR,2025-06-29
"Vueling, easyJet",1,140 €,6h 20min,PAR,2025-06-29
"Tunisair, easyJet",1,126 €,7h 25min,PAR,2025-06-29
ITA Airways,1,167 €,5h 55min,PAR,2025-06-29
"Tunisair, easyJet",1,141 €,6h 30min,PAR,2025-06-29
"Tunisair, Vueling",1,128 €,7h 30min,PAR,2025-06-29
"Tunisair, Ryanair",1,125 €,7h 45min,PAR,2025-06-29
Air Algerie,0,111 €,1h 20min,ALG,2025-06-29
Air Algerie,0,111 €,1h 20min,ALG,2025-06-29
Air Algerie,0,111 €,1h 20min,ALG,2025-06-29
Tunisair,0,113 €,1h 20min,ALG,2025-06-29
Vueling,1,152 €,9h 55min,ALG,2025-06-29
"Tunisair, Vueling",1,198 €,6h 05min,ALG,2025-06-29
"Nouvelair, Vueling",1,193 €,6h 40min,ALG,2025-06-29
"Nouvelair, Air Algerie",1,236 €,5h 00min,ALG,2025-06-29
Turkish Airlines,1,308 €,9h 40min,ALG,2025-06-29
"Tunisair, Air Algerie",1,238 €,5h 20min,ALG,2025-06-29
Turkish Airlines,1,308 €,11h 25min,ALG,2025-06-29
Air France,1,433 €,6h 05min,ALG,2025-06-29
"Transavia France, Vueling",1,206 €,8h 40min,ALG,2025-06-29
Transavia France,1,283 €,9h 30min,ALG,2025-06-29
Air France,1,263 €,13h 45min,ALG,2025-06-29
"Tunisair, ITA Airways",2,181 €,16h 45min,ALG,2025-06-29
Transavia France,1,303 €,7h 20min,ALG,2025-06-29
"Nouvelair, Air Algerie",1,282 €,7h 55min,ALG,2025-06-29
"Transavia France, Vueling",1,206 €,8h 40min,ALG,2025-06-29
"Tunisair, Air Algerie",1,317 €,8h 20min,ALG,2025-06-29
"Tunisair, Air Algerie",1,317 €,8h 50min,ALG,2025-06-29
Vueling,1,152 €,9h 55min,ALG,2025-06-29
"Nouvelair, Air Algerie",1,313 €,9h 20min,ALG,2025-06-29
"Tunisair, Vueling",2,240 €,9h 30min,ALG,2025-06-29
Transavia France,1,283 €,9h 30min,ALG,2025-06-29
Turkish Airlines,1,308 €,9h 40min,ALG,2025-06-29
"Nouvelair, Air Algerie",1,316 €,9h 45min,ALG,2025-06-29
"Tunisair, Air Algerie",1,238 €,10h 40min,ALG,2025-06-29
"Nouvelair, Transavia France",1,271 €,10h 35min,ALG,2025-06-29
Turkish Airlines,1,308 €,11h 25min,ALG,2025-06-29
Air France,1,553 €,10h 30min,ALG,2025-06-29
Tunisair,0,84 €,2h 15min,MAD,2025-07-09
Tunisair,0,84 €,2h 15min,MAD,2025-07-09
Transavia France,1,129 €,6h 25min,MAD,2025-07-09
"Transavia France, Ryanair",1,96 €,8h 40min,MAD,2025-07-09
ITA Airways,1,181 €,4h 49min,MAD,2025-07-09
"Transavia France, Iberia",1,133 €,5h 45min,MAD,2025-07-09
"Tunisair, Iberia",1,130 €,6h 15min,MAD,2025-07-09
"Nouvelair, Iberia",1,124 €,6h 50min,MAD,2025-07-09
"Vueling, Iberia",1,112 €,8h 30min,MAD,2025-07-09
"Tunisair, Ryanair",1,111 €,9h 30min,MAD,2025-07-09
"Nouvelair, Transavia France",1,116 €,8h 45min,MAD,2025-07-09
Vueling,1,142 €,7h 10min,MAD,2025-07-09
Transavia France,1,129 €,7h 15min,MAD,2025-07-09
"Tunisair, Transavia France",1,130 €,6h 55min,MAD,2025-07-09
"Transavia France, Iberia",1,142 €,6h 15min,MAD,2025-07-09
"Tunisair, Iberia",1,155 €,5h 05min,MAD,2025-07-09
Transavia France,1,129 €,6h 25min,MAD,2025-07-09
Royal Air Maroc,1,263 €,6h 05min,MAD,2025-07-09
Transavia France,1,129 €,7h 15min,MAD,2025-07-09
"Tunisair, Iberia",1,163 €,6h 20min,MAD,2025-07-09
"Tunisair, Transavia France",1,130 €,6h 55min,MAD,2025-07-09
"Nouvelair, Iberia",1,124 €,6h 50min,MAD,2025-07-09
Air France,1,265 €,6h 05min,MAD,2025-07-09
"Tunisair, Iberia",1,157 €,6h 35min,MAD,2025-07-09
"Nouvelair, Air Arabia Maroc",1,185 €,6h 30min,MAD,2025-07-09
"Transavia France, Iberia",1,162 €,6h 40min,MAD,2025-07-09
"Transavia France, Iberia",1,142 €,6h 15min,MAD,2025-07-09
"Tunisair, Ryanair",1,252 €,6h 10min,MAD,2025-07-09
Vueling,1,142 €,7h 10min,MAD,2025-07-09
Air France,1,265 €,6h 35min,MAD,2025-07-09
"Transavia France, Iberia Express",1,124 €,7h 40min,MAD,2025-07-09
Royal Air Maroc,1,404 €,9h 15min,COO,2025-07-09
"Tunisair, Royal Air Maroc",2,497 €,17h 35min,COO,2025-07-09
Royal Air Maroc,1,404 €,9h 15min,COO,2025-07-09
"Tunisair, Royal Air Maroc",2,494 €,17h 35min,COO,2025-07-09
Royal Air Maroc,1,404 €,15h 25min,COO,2025-07-09
"Air France, Royal Air Maroc",2,613 €,15h 30min,COO,2025-07-09
Air France,1,693 €,14h 50min,COO,2025-07-09
"Transavia France, Royal Air Maroc",2,490 €,22h 15min,COO,2025-07-09
"Transavia France, Royal Air Maroc",2,603 €,17h 30min,COO,2025-07-09
"Tunisair, Royal Air Maroc",2,540 €,17h 35min,COO,2025-07-09
"Nouvelair, Royal Air Maroc",1,780 €,17h 00min,COO,2025-07-09
Turkish Airlines,1,543 €,21h 35min,COO,2025-07-09
Air France,1,693 €,10h 30min,COO,2025-07-09
"Tunisair, Royal Air Maroc",2,587 €,14h 10min,COO,2025-07-09
"Nouvelair, Royal Air Maroc",2,601 €,14h 30min,COO,2025-07-09
"Air France, Royal Air Maroc",2,616 €,17h 25min,COO,2025-07-09
"Nouvelair, Royal Air Maroc",1,780 €,17h 00min,COO,2025-07-09
Plusieurs compagnies,3,629 €,17h 45min,COO,2025-07-09
"Transavia France, Royal Air Maroc",2,490 €,22h 15min,COO,2025-07-09
Air France,1,123 €,5h 41min,CRL,2025-07-09
"Transavia France, Ryanair",1,94 €,8h 25min,CRL,2025-07-09
"Tunisair, Ryanair",1,109 €,9h 15min,CRL,2025-07-09
"Tunisair, Ryanair",1,125 €,7h 10min,CRL,2025-07-09
"Nouvelair, Ryanair",1,129 €,8h 45min,CRL,2025-07-09
"Tunisair, Ryanair",1,141 €,8h 05min,CRL,2025-07-09
"Tunisair, Ryanair",1,137 €,8h 25min,CRL,2025-07-09
"Vueling, Ryanair",2,150 €,8h 55min,CRL,2025-07-09
Plusieurs compagnies,2,167 €,8h 05min,CRL,2025-07-09
"Tunisair, Ryanair",1,160 €,8h 50min,CRL,2025-07-09
"Aeroitalia, Ryanair",2,174 €,7h 55min,CRL,2025-07-09
Plusieurs compagnies,2,174 €,8h 45min,CRL,2025-07-09
"Tunisair, Ryanair",2,185 €,8h 15min,CRL,2025-07-09
Plusieurs compagnies,2,180 €,8h 40min,CRL,2025-07-09
"Transavia France, Ryanair",1,106 €,11h 10min,CRL,2025-07-09
"Tunisair, Ryanair",2,183 €,10h 25min,CRL,2025-07-09
"Vueling, Ryanair",2,136 €,10h 30min,CRL,2025-07-09
"Vueling, Ryanair",2,140 €,10h 55min,CRL,2025-07-09
"Vueling, Ryanair",2,150 €,11h 00min,CRL,2025-07-09
"Tunisair, Ryanair",1,112 €,12h 45min,CRL,2025-07-09
"Tunisair, Ryanair",1,109 €,13h 40min,CRL,2025-07-09
"Vueling, Ryanair",2,153 €,12h 10min,CRL,2025-07-09
"Transavia France, Ryanair",1,122 €,13h 50min,CRL,2025-07-09
"ITA Airways, Wizz Air",2,150 €,14h 00min,CRL,2025-07-09
"Vueling, Ryanair",2,146 €,13h 25min,CRL,2025-07-09
"Vueling, Ryanair",1,113 €,14h 15min,CRL,2025-07-09
"Tunisair, Ryanair",1,137 €,14h 40min,CRL,2025-07-09
"ITA Airways, Wizz Air",2,206 €,14h 00min,CRL,2025-07-09
"Nouvelair, Ryanair",1,109 €,16h 30min,CRL,2025-07-09
Plusieurs compagnies,3,290 €,14h 25min,CRL,2025-07-09
Air France,1,123 €,5h 41min,ANR,2025-07-09
"Vueling, TUI Fly Belgium",2,270 €,11h 05min,ANR,2025-07-09
"Vueling, TUI Fly Belgium",2,273 €,11h 05min,ANR,2025-07-09
"Vueling, TUI Fly Belgium",2,273 €,12h 00min,ANR,2025-07-09
"Vueling, TUI Fly Belgium",2,223 €,11h 30min,OST,2025-07-09
"Lufthansa, TUI Fly Belgium",2,387 €,24h 25min,OST,2025-07-09
Air France,1,126 €,7h 20min,LUX,2025-07-09
"Tunisair, Volotea",1,126 €,4h 15min,LUX,2025-07-09
"Transavia France, Ryanair",1,91 €,22h 35min,LUX,2025-07-09
Lufthansa,1,141 €,5h 10min,LUX,2025-07-09
Air France,1,126 €,7h 20min,LUX,2025-07-09
"Nouvelair, Luxair",1,133 €,5h 50min,LUX,2025-07-09
"Tunisair, Ryanair",1,106 €,10h 50min,LUX,2025-07-09
Lufthansa,1,169 €,5h 20min,LUX,2025-07-09
"Tunisair, Ryanair",1,111 €,9h 50min,LUX,2025-07-09
Lufthansa,2,140 €,6h 25min,LUX,2025-07-09
"Tunisair, Luxair",1,154 €,5h 15min,LUX,2025-07-09
Lufthansa,1,151 €,7h 20min,LUX,2025-07-09
"Lufthansa, Air Dolomiti",1,214 €,5h 20min,LUX,2025-07-09
"Tunisair, Luxair",1,154 €,6h 30min,LUX,2025-07-09
"Tunisair, Luxair",1,176 €,6h 50min,LUX,2025-07-09
Turkish Airlines,1,276 €,8h 15min,LUX,2025-07-09
"Transavia France, Luxair",1,141 €,7h 50min,LUX,2025-07-09
"Tunisair, Volotea",1,126 €,10h 25min,LUX,2025-07-09
"Tunisair, Lufthansa",1,234 €,4h 50min,LUX,2025-07-09
Air France,1,137 €,14h 50min,LUX,2025-07-09
"Lufthansa, Air Dolomiti",1,185 €,7h 20min,LUX,2025-07-09
"Tunisair, Luxair",1,152 €,8h 30min,LUX,2025-07-09
Lufthansa,1,151 €,10h 55min,LUX,2025-07-09
"Transavia France, Ryanair",2,142 €,9h 40min,LUX,2025-07-09
"Lufthansa, Air Dolomiti",1,185 €,10h 55min,LUX,2025-07-09
"Tunisair, Luxair",1,254 €,6h 55min,LUX,2025-07-09
KLM,2,162 €,11h 05min,LUX,2025-07-09
"Transavia France, easyJet",2,185 €,9h 40min,LUX,2025-07-09
KLM,2,163 €,11h 05min,LUX,2025-07-09
"Nouvelair, Lufthansa",1,268 €,7h 20min,LUX,2025-07-09
"Tunisair, Luxair",1,208 €,8h 45min,LUX,2025-07-09
KLM,2,185 €,9h 40min,LUX,2025-07-09
Egyptair,1,340 €,24h 10min,NDJ,2025-07-09
Air France,1,647 €,12h 30min,NDJ,2025-07-09
Egyptair,1,339 €,24h 10min,NDJ,2025-07-09
"ITA Airways, Ethiopian Air",2,614 €,18h 00min,NDJ,2025-07-09
"Tunisair, Egyptair",2,677 €,19h 50min,NDJ,2025-07-09
Turkish Airlines,2,483 €,32h 40min,NDJ,2025-07-09
Plusieurs compagnies,3,1 411 €,21h 00min,NDJ,2025-07-09
Royal Air Maroc,1,235 €,11h 45min,ABJ,2025-07-09
Royal Air Maroc,1,231 €,11h 45min,ABJ,2025-07-09
Royal Air Maroc,1,231 €,17h 55min,ABJ,2025-07-09
Air Algerie,1,279 €,15h 20min,ABJ,2025-07-09
Royal Air Maroc,1,231 €,24h 45min,ABJ,2025-07-09
Turkish Airlines,2,504 €,14h 15min,ABJ,2025-07-09
"Tunisair, Air Côte d’Ivoire",1,398 €,15h 30min,ABJ,2025-07-09
Turkish Airlines,1,504 €,28h 20min,ABJ,2025-07-09
Air France,1,817 €,10h 40min,ABJ,2025-07-09
Air France,1,817 €,12h 35min,ABJ,2025-07-09
Air France,1,896 €,14h 05min,ABJ,2025-07-09
"Transavia France, Royal Air Maroc",2,595 €,14h 30min,ABJ,2025-07-09
"Tunisair, Royal Air Maroc",2,606 €,14h 10min,ABJ,2025-07-09
Air France,1,817 €,16h 55min,ABJ,2025-07-09
"Nouvelair, Royal Air Maroc",2,608 €,16h 00min,ABJ,2025-07-09
"Nouvelair, Air Algerie",2,574 €,17h 50min,ABJ,2025-07-09
"Air France, Air Algerie",2,691 €,15h 00min,ABJ,2025-07-09
Turkish Airlines,1,504 €,28h 20min,ABJ,2025-07-09
"Turkish Airlines, Air Algerie",2,744 €,14h 55min,ABJ,2025-07-09
Lufthansa,3,718 €,17h 45min,ABJ,2025-07-09
Lufthansa,3,718 €,17h 45min,ABJ,2025-07-09
"Nouvelair, Air Algerie",2,711 €,18h 50min,ABJ,2025-07-09
"Tunisair, Air Algerie",2,755 €,17h 50min,ABJ,2025-07-09
"Air France, Royal Air Maroc",2,728 €,18h 00min,ABJ,2025-07-09
Air France,1,817 €,16h 55min,ABJ,2025-07-09
Air France,1,896 €,14h 05min,ABJ,2025-07-09
"Nouvelair, Corsair",1,1 034 €,15h 30min,ABJ,2025-07-09
"Transavia France, Corsair",1,1 050 €,17h 30min,ABJ,2025-07-09
Nouvelair,0,33 €,2h 35min,PAR,2025-07-09
Nouvelair,0,33 €,2h 35min,PAR,2025-07-09
Nouvelair,0,33 €,2h 35min,PAR,2025-07-09
Nouvelair,0,33 €,2h 35min,PAR,2025-07-09
Transavia France,0,44 €,2h 35min,PAR,2025-07-09
Tunisair,0,51 €,2h 20min,PAR,2025-07-09
Tunisair,0,51 €,2h 25min,PAR,2025-07-09
Tunisair,0,51 €,2h 25min,PAR,2025-07-09
Tunisair,0,51 €,2h 25min,PAR,2025-07-09
Transavia France,0,55 €,2h 35min,PAR,2025-07-09
Transavia France,0,55 €,2h 35min,PAR,2025-07-09
Transavia France,0,55 €,2h 35min,PAR,2025-07-09
Air France,0,93 €,2h 40min,PAR,2025-07-09
Air France,0,93 €,2h 40min,PAR,2025-07-09
Air France,0,93 €,2h 35min,PAR,2025-07-09
Air France,0,93 €,2h 35min,PAR,2025-07-09
Air France,0,93 €,2h 35min,PAR,2025-07-09
Vueling,1,90 €,7h 05min,PAR,2025-07-09
Vueling,1,90 €,7h 40min,PAR,2025-07-09
Vueling,1,96 €,7h 45min,PAR,2025-07-09
Vueling,1,90 €,10h 20min,PAR,2025-07-09
"Tunisair, Vueling",1,116 €,5h 05min,PAR,2025-07-09
"Nouvelair, easyJet",1,109 €,5h 35min,PAR,2025-07-09
ITA Airways,1,171 €,4h 30min,PAR,2025-07-09
"Tunisair, easyJet",1,113 €,5h 30min,PAR,2025-07-09
Lufthansa,1,176 €,5h 05min,PAR,2025-07-09
"Tunisair, easyJet",1,113 €,6h 15min,PAR,2025-07-09
"Tunisair, Vueling",1,114 €,7h 00min,PAR,2025-07-09
"Tunisair, easyJet",1,113 €,6h 35min,PAR,2025-07-09
"Vueling, Transavia France",1,122 €,6h 30min,PAR,2025-07-09
"Tunisair, Ryanair",1,144 €,5h 15min,PAR,2025-07-09
Air Algerie,0,112 €,1h 20min,ALG,2025-07-09
Air Algerie,0,112 €,1h 20min,ALG,2025-07-09
Tunisair,0,181 €,1h 20min,ALG,2025-07-09
Tunisair,0,181 €,1h 20min,ALG,2025-07-09
Vueling,1,120 €,5h 15min,ALG,2025-07-09
"Tunisair, Vueling",1,141 €,11h 35min,ALG,2025-07-09
"Nouvelair, Vueling",1,193 €,7h 00min,ALG,2025-07-09
"Tunisair, Vueling",1,198 €,6h 40min,ALG,2025-07-09
"Transavia France, Vueling",1,181 €,12h 05min,ALG,2025-07-09
Turkish Airlines,1,308 €,9h 40min,ALG,2025-07-09
Turkish Airlines,1,308 €,11h 25min,ALG,2025-07-09
